	child	parent
873	LP15766-6	LP31400-2
874	LP15767-4	LP31660-1
875	LP15768-2	LP33079-2
876	LP15769-0	LP15704-7
877	LP15770-8	LP31657-7
878	LP15771-6	LP31693-2
879	LP15772-4	LP31433-3
880	LP157723-0	LP7188-8
881	LP15776-5	LP31413-5
882	LP15777-3	LP18184-9
883	LP15778-1	LP18184-9
884	LP157781-8	LP6866-0
885	LP157782-6	LP6792-8
886	LP15779-9	LP18184-9
887	LP15780-7	LP18184-9
888	LP157803-0	LP61778-4
889	LP15781-5	LP31399-6
890	LP15782-3	LP31419-2
891	LP15783-1	LP15782-3
892	LP15784-9	LP15782-3
893	LP15786-4	LP31419-2
894	LP15791-4	LP18033-8
895	LP15792-2	LP18033-8
896	LP15793-0	LP18033-8
897	LP15794-8	LP31406-9
898	LP15796-3	LP15704-7
899	LP15797-1	LP15704-7
900	LP15798-9	LP15704-7
901	LP15799-7	LP15704-7
902	LP15800-3	LP31392-1
903	LP15801-1	LP15038-0
904	LP15802-9	LP15038-0
905	LP15803-7	LP15038-0
906	LP15804-5	LP31392-1
907	LP15805-2	LP31392-1
908	LP15807-8	LP14488-8
909	LP15807-8	LP31406-9
910	LP158077-0	LP57369-8
911	LP15808-6	LP18033-8
912	LP158086-1	LP56747-6
913	LP15809-4	LP14913-5
914	LP15810-2	LP31392-1
915	LP15811-0	LP31392-1
916	LP15814-4	LP15838-3
917	LP15815-1	LP31663-5
918	LP15816-9	LP31663-5
919	LP15817-7	LP31653-6
920	LP15818-5	LP18033-8
921	LP15819-3	LP31392-1
922	LP15820-1	LP31415-0
923	LP15821-9	LP31392-1
924	LP15822-7	LP19203-6
925	LP15823-5	LP15822-7
926	LP15824-3	LP15822-7
927	LP15825-0	LP19203-6
928	LP15826-8	LP15825-0
929	LP15827-6	LP19203-6
930	LP15830-0	LP31392-1
931	LP15832-6	LP15838-3
932	LP15833-4	LP31743-5
933	LP15834-2	LP31743-5
934	LP15835-9	LP14885-5
935	LP15836-7	LP14885-5
936	LP15837-5	LP15838-3
937	LP15838-3	LP7786-9
938	LP15838-3	LP7784-4
939	LP15838-3	LP40317-7
940	LP15839-1	LP14913-5
941	LP15840-9	LP15839-1
942	LP15841-7	LP31392-1
943	LP15842-5	LP31694-0
944	LP15843-3	LP15842-5
945	LP15844-1	LP31392-1
946	LP15846-6	LP31392-1
947	LP15847-4	LP18605-3
948	LP15848-2	LP18605-3
949	LP15849-0	LP31392-1
950	LP15850-8	LP15838-3
951	LP15850-8	LP7844-6
952	LP15851-6	LP15274-1
953	LP15852-4	LP15274-1
954	LP15853-2	LP31690-8
955	LP15854-0	LP31392-1
956	LP15855-7	LP31399-6
957	LP15856-5	LP31399-6
958	LP15858-1	LP31399-6
959	LP15859-9	LP18033-8
960	LP15860-7	LP31419-2
961	LP15861-5	LP18033-8
962	LP15863-1	LP15835-9
963	LP15864-9	LP31412-7
964	LP15865-6	LP31398-8
965	LP15865-6	LP40317-7
966	LP15867-2	LP100184-3
967	LP15867-2	LP7851-1
968	LP15868-0	LP15448-1
969	LP15869-8	LP31392-1
970	LP15870-6	LP31403-6
971	LP15871-4	LP31399-6
972	LP15872-2	LP31406-9
973	LP15873-0	LP31399-6
974	LP15874-8	LP31415-0
975	LP15874-8	LP7844-6
976	LP15875-5	LP15874-8
977	LP15876-3	LP31392-1
978	LP15877-1	LP31392-1
979	LP15878-9	LP18033-8
980	LP15880-5	LP31392-1
981	LP15880-5	LP32943-0
982	LP15881-3	LP14045-6
983	LP15883-9	LP31653-6
984	LP15884-7	LP31653-6
985	LP15885-4	LP15575-1
986	LP15886-2	LP31688-2
987	LP15887-0	LP15886-2
988	LP15889-6	LP31406-9
989	LP15890-4	LP18033-8
990	LP15891-2	LP31748-4
991	LP15892-0	LP31666-8
992	LP15893-8	LP31660-1
993	LP15895-3	LP14487-0
994	LP15897-9	LP15900-1
995	LP15899-5	LP15900-1
996	LP15900-1	LP31666-8
997	LP15900-1	LP7844-6
998	LP15902-7	LP15905-0
999	LP15903-5	LP15905-0
1000	LP15904-3	LP15905-0
1001	LP15905-0	LP15505-8
1002	LP15906-8	LP31743-5
1003	LP15907-6	LP15835-9
1004	LP15908-4	LP31392-1
1005	LP15910-0	LP31392-1
1006	LP15913-4	LP15275-8
1007	LP15915-9	LP15275-8
1008	LP15917-5	LP15275-8
1009	LP15919-1	LP15275-8
1010	LP15921-7	LP15922-5
1011	LP15922-5	LP31666-8
1012	LP15922-5	LP7844-6
1013	LP15923-3	LP15922-5
1014	LP15924-1	LP15922-5
1015	LP15925-8	LP31406-9
1016	LP15926-6	LP31392-1
1017	LP15928-2	LP31419-2
1018	LP15929-0	LP15928-2
1019	LP15931-6	LP18033-8
1020	LP15934-0	LP31392-1
1021	LP15935-7	LP31405-1
1022	LP15936-5	LP31392-1
1023	LP15940-7	LP31392-1
1024	LP15941-5	LP31397-0
1025	LP15942-3	LP31397-0
1026	LP15942-3	LP40317-7
1027	LP15943-1	LP15624-7
1028	LP15945-6	LP31392-1
1029	LP15946-4	LP18033-8
1030	LP15947-2	LP18233-4
1031	LP15948-0	LP31419-2
1032	LP15949-8	LP31660-1
1033	LP15951-4	LP31699-9
1034	LP15952-2	LP15838-3
1035	LP15953-0	LP31405-1
1036	LP15954-8	LP31415-0
1037	LP15955-5	LP31399-6
1038	LP16012-4	LP31728-6
1039	LP16175-9	LP31474-7
1040	LP16216-1	LP204179-8
1041	LP16287-2	LP31487-9
1042	LP16322-7	LP31656-9
1043	LP16328-4	LP31440-8
1044	LP164000-4	LP157581-2
1045	LP164005-3	LP185820-0
1046	LP16408-4	LP30925-9
1047	LP16412-6	LP14554-7
1048	LP16413-4	LP16412-6
1049	LP16428-2	LP31617-1
1050	LP16468-8	LP7803-2
1051	LP16468-8	LP7844-6
1052	LP16469-6	LP18982-6
1053	LP16470-4	LP18982-6
1054	LP16471-2	LP30867-3
1055	LP16472-0	LP30867-3
1056	LP16473-8	LP30867-3
1057	LP16474-6	LP30867-3
1058	LP16475-3	LP30867-3
1059	LP16490-2	LP31772-4
1060	LP16774-9	LP32938-0
1061	LP16798-8	LP18221-9
1062	LP16803-6	LP31434-1
1063	LP16805-1	LP31434-1
1064	LP16814-3	LP31434-1
1065	LP16844-0	LP15935-7
1066	LP16845-7	LP31771-6
1067	LP16846-5	LP31771-6
1068	LP16847-3	LP31771-6
1069	LP16849-9	LP30865-7
1070	LP16849-9	LP7851-1
1071	LP16852-3	LP15705-4
1072	LP16860-6	LP31771-6
1073	LP16860-6	LP16849-9
1074	LP16874-7	LP15711-2
1075	LP16875-4	LP31419-2
1076	LP17145-1	LP31409-3
1077	LP17170-9	LP31663-5
1078	LP17171-7	LP31663-5
1079	LP17184-0	LP31653-6
1080	LP17184-0	LP234174-3
1081	LP17185-7	LP31653-6
1082	LP17186-5	LP31653-6
1083	LP17187-3	LP14643-8
1084	LP171883-4	LP15838-3
1085	LP17229-3	LP15883-9
1086	LP17233-5	LP14635-4
1087	LP17234-3	LP14669-3
1088	LP17248-3	LP14669-3
1089	LP172597-9	LP56747-6
1090	LP172602-7	LP19693-8
1091	LP172603-5	LP19693-8
1092	LP17263-2	LP31434-1
1093	LP172681-1	LP19403-2
1094	LP172690-2	LP172689-4
1095	LP172691-0	LP172689-4
1096	LP172700-9	LP96191-9
1097	LP172715-7	LP30570-3
1098	LP172724-9	LP172723-1
1099	LP172734-8	LP31392-1
1100	LP172736-3	LP33102-2
1101	LP172737-1	LP172693-6
1102	LP172771-0	LP15620-5
1103	LP172793-4	LP31653-6
1104	LP172794-2	LP31653-6
1105	LP172797-5	LP31653-6
1106	LP172798-3	LP31653-6
1107	LP172845-2	LP31653-6
1108	LP172849-4	LP32748-3
1109	LP173521-8	LP7825-5
1110	LP173530-9	LP33103-0
1111	LP173558-0	LP173520-0
1112	LP173633-1	LP31392-1
1113	LP173634-9	LP15838-3
1114	LP173639-8	LP36815-6
1115	LP173640-6	LP31400-2
1116	LP173640-6	LP7840-4
1117	LP173648-9	LP31399-6
1118	LP173648-9	LP65098-3
1119	LP173656-2	LP31392-1
1120	LP173658-8	LP31415-0
1121	LP173710-7	LP14913-5
1122	LP173714-9	LP200316-0
1123	LP173716-4	LP31399-6
1124	LP173717-2	LP183760-0
1125	LP173718-0	LP183760-0
1126	LP173719-8	LP183760-0
1127	LP173720-6	LP183760-0
1128	LP173721-4	LP183760-0
1129	LP173725-5	LP15931-6
1130	LP173998-8	LP31398-8
1131	LP173999-6	LP31398-8
1132	LP174001-0	LP14643-8
1133	LP174002-8	LP14331-0
1134	LP174005-1	LP31398-8
1135	LP174010-1	LP14020-9
1136	LP174011-9	LP31398-8
1137	LP174016-8	LP31398-8
1138	LP174017-6	LP15479-6
1139	LP174026-7	LP31398-8
1140	LP174038-2	LP31398-8
1141	LP174039-0	LP28491-6
1142	LP174051-5	LP31398-8
1143	LP174062-2	LP31398-8
1144	LP174065-5	LP14343-5
1145	LP174073-9	LP62865-8
1146	LP174075-4	LP31398-8
1147	LP174076-2	LP14912-7
1148	LP174077-0	LP31398-8
1149	LP174078-8	LP31398-8
1150	LP174084-6	LP31398-8
1151	LP174089-5	LP31398-8
1152	LP174091-1	LP150238-6
1153	LP174092-9	LP31398-8
1154	LP174093-7	LP31666-8
1155	LP174095-2	LP36653-1
1156	LP174096-0	LP36654-9
1157	LP174098-6	LP15935-7
1158	LP174099-4	LP14492-0
1159	LP174557-1	LP175757-6
1160	LP174558-9	LP56747-6
1161	LP174560-5	LP56747-6
1162	LP174561-3	LP14515-8
1163	LP174562-1	LP56738-5
1164	LP175628-9	LP15649-4
1165	LP175757-6	LP31433-3
1166	LP175759-2	LP31653-6
1167	LP17650-0	LP31392-1
1168	LP17650-0	LP30681-8
1169	LP17727-6	LP32941-4
1170	LP177621-2	LP432811-0
1171	LP17770-6	LP30865-7
1172	LP17770-6	LP7851-1
1173	LP17841-5	LP18033-8
1174	LP17852-2	LP29095-4
1175	LP17856-3	LP31406-9
1176	LP17876-1	LP31703-9
1177	LP17877-9	LP31396-2
1178	LP17878-7	LP31653-6
1179	LP17893-6	LP31663-5
1180	LP17895-1	LP14913-5
1181	LP17921-5	LP31653-6
1182	LP17945-4	LP31700-5
1183	LP17957-9	LP14310-4
1184	LP17988-4	LP31429-1
1185	LP18007-2	LP31392-1
1186	LP18007-2	LP57347-4
1187	LP18007-2	LP7844-6
1188	LP18020-5	LP15493-7
1189	LP18021-3	LP15489-5
1190	LP18022-1	LP15489-5
1191	LP18032-0	LP15316-0
1192	LP18033-8	LP7786-9
1193	LP18034-6	LP31410-1
1194	LP18035-3	LP18990-9
1195	LP18038-7	LP31399-6
1196	LP18039-5	LP31405-1
1197	LP18044-5	LP31656-9
1198	LP18046-0	LP7790-1
1199	LP18047-8	LP18046-0
1200	LP18119-5	LP18033-8
1201	LP18123-7	LP31434-1
1202	LP18130-2	LP16849-9
1203	LP18136-9	LP15820-1
1204	LP18150-0	LP28807-3
1205	LP18150-0	LP15705-4
1206	LP18151-8	LP14488-8
1207	LP18151-8	LP31406-9
1208	LP18153-4	LP14488-8
1209	LP18154-2	LP31434-1
1210	LP18164-1	LP31742-7
1211	LP18165-8	LP31742-7
1212	LP18167-4	LP14669-3
1213	LP18168-2	LP31403-6
1214	LP18170-8	LP18578-2
1215	LP18172-4	LP16468-8
1216	LP18174-0	LP30867-3
1217	LP18176-5	LP31413-5
1218	LP18179-9	LP17185-7
1219	LP18180-7	LP31412-7
1220	LP18182-3	LP18194-8
1221	LP18184-9	LP31659-3
1222	LP18184-9	LP7844-6
1223	LP18187-2	LP32866-3
1224	LP18188-0	LP32866-3
1225	LP18190-6	LP19203-6
1226	LP18191-4	LP15826-8
1227	LP18192-2	LP14689-1
1228	LP18193-0	LP14689-1
1229	LP18193-0	LP57347-4
1230	LP18194-8	LP15838-3
1231	LP18217-7	LP31392-1
1232	LP18218-5	LP15907-6
1233	LP18221-9	LP7790-1
1234	LP182268-5	LP177621-2
1235	LP182303-0	LP18605-3
1236	LP182304-8	LP18605-3
1237	LP182306-3	LP32721-0
1238	LP182307-1	LP32721-0
1239	LP182310-5	LP18628-5
1240	LP182311-3	LP18628-5
1241	LP182316-2	LP35551-8
1242	LP182318-8	LP183757-6
1243	LP182320-4	LP183757-6
1244	LP182321-2	LP183757-6
1245	LP182323-8	LP31392-1
1246	LP18233-4	LP15090-1
1247	LP182347-7	LP34869-5
1248	LP182350-1	LP15838-3
1249	LP182352-7	LP15838-3
1250	LP182353-5	LP15838-3
1251	LP182354-3	LP15838-3
1252	LP182355-0	LP15838-3
1253	LP182358-4	LP32941-4
1254	LP182359-2	LP32941-4
1255	LP182361-8	LP56763-3
1256	LP182372-5	LP182342-8
1257	LP182373-3	LP28739-8
1258	LP182374-1	LP28739-8
1259	LP182378-2	LP15838-3
1260	LP182411-1	LP31391-3
1261	LP182413-7	LP7846-1
1262	LP182415-2	LP19460-2
1263	LP182416-0	LP15318-6
1264	LP182432-7	LP15318-6
1265	LP182433-5	LP15318-6
1266	LP182450-9	LP31696-5
1267	LP18260-7	LP15704-7
1268	LP18266-4	LP7844-6
1269	LP18274-8	LP31412-7
1270	LP18278-9	LP31419-2
1271	LP183523-2	LP15838-3
1272	LP183581-0	LP183582-8
1273	LP183584-4	LP183583-6
1274	LP183618-0	LP15900-1
1275	LP183619-8	LP31666-8
1276	LP183620-6	LP31666-8
1277	LP183621-4	LP14746-9
1278	LP18363-9	LP18628-5
1279	LP183637-0	LP15318-6
1280	LP183640-4	LP36348-8
1281	LP18367-0	LP31398-8
1282	LP18370-4	LP14672-7
1283	LP183703-0	LP15090-1
1284	LP18372-0	LP31653-6
1285	LP183742-8	LP14488-8
1286	LP183757-6	LP15705-4
1287	LP183760-0	LP15705-4
1288	LP18377-9	LP18033-8
1289	LP18379-5	LP15385-5
1290	LP18380-3	LP31653-6
1291	LP18381-1	LP14377-3
1292	LP18399-3	LP15820-1
1293	LP18400-9	LP31726-0
1294	LP18401-7	LP15330-1
1295	LP18402-5	LP31650-2
1296	LP18403-3	LP18437-1
1297	LP18404-1	LP31729-4
1298	LP18405-8	LP31727-8
1299	LP18406-6	LP31650-2
1300	LP18407-4	LP31728-6
1301	LP18408-2	LP15330-1
1302	LP18410-8	LP31728-6
1303	LP18413-2	LP15330-1
1304	LP18415-7	LP18437-1
1305	LP18416-5	LP31650-2
1306	LP18417-3	LP15820-1
1307	LP18418-1	LP31726-0
1308	LP18420-7	LP18437-1
1309	LP18421-5	LP18437-1
1310	LP18423-1	LP18450-4
1311	LP18424-9	LP18033-8
1312	LP18425-6	LP15794-8
1313	LP18426-4	LP31729-4
1314	LP18427-2	LP18033-8
1315	LP18428-0	LP31415-0
1316	LP18430-6	LP31473-9
1317	LP18431-4	LP14482-1
1318	LP18431-4	LP15705-4
1319	LP18432-2	LP31415-0
1320	LP18433-0	LP31415-0
1321	LP18434-8	LP29636-5
1322	LP18435-5	LP15090-1
1323	LP18436-3	LP18437-1
1324	LP18437-1	LP31415-0
1325	LP18438-9	LP31415-0
1326	LP18439-7	LP15705-4
1327	LP18440-5	LP14741-0
1328	LP18441-3	LP31397-0
1329	LP18443-9	LP29636-5
1330	LP18444-7	LP14913-5
1331	LP18445-4	LP18033-8
1332	LP18446-2	LP18033-8
1333	LP18447-0	LP31415-0
1334	LP18448-8	LP14488-8
1335	LP18449-6	LP14488-8
1336	LP18450-4	LP31432-5
1337	LP18451-2	LP18033-8
1338	LP18453-8	LP14488-8
1339	LP18454-6	LP31415-0
1340	LP18455-3	LP31405-1
1341	LP18470-2	LP15349-1
1342	LP18471-0	LP15349-1
1343	LP18472-8	LP15907-6
1344	LP18475-1	LP14485-4
1345	LP18477-7	LP14497-9
1346	LP18478-5	LP15793-0
1347	LP18479-3	LP14487-0
1348	LP18480-1	LP31391-3
1349	LP18483-5	LP17988-4
1350	LP18509-7	LP16469-6
1351	LP18511-3	LP28550-9
1352	LP18512-1	LP19203-6
1353	LP18513-9	LP15042-2
1354	LP18514-7	LP15900-1
1355	LP18544-4	LP31653-6
1356	LP18545-1	LP31399-6
1357	LP18546-9	LP31392-1
1358	LP18547-7	LP31655-1
1359	LP18548-5	LP14661-0
1360	LP18564-2	LP18176-5
1361	LP18570-9	LP31653-6
1362	LP18571-7	LP14656-0
1363	LP18572-5	LP15493-7
1364	LP18573-3	LP31744-3
1365	LP18574-1	LP15838-3
1366	LP185743-4	LP57369-8
1367	LP185746-7	LP15838-3
1368	LP185747-5	LP36815-6
1369	LP185748-3	LP31391-3
1370	LP185749-1	LP15838-3
1371	LP18575-8	LP15636-1
1372	LP185750-9	LP31392-1
1373	LP185751-7	LP33100-6
1374	LP185753-3	LP187192-2
1375	LP185754-1	LP187192-2
1376	LP185755-8	LP187192-2
1377	LP185757-4	LP31396-2
1378	LP18576-6	LP31392-1
1379	LP185766-5	LP7827-1
1380	LP185767-3	LP19405-7
1381	LP185768-1	LP7823-0
1382	LP185769-9	LP7823-0
1383	LP18577-4	LP18033-8
1384	LP185770-7	LP7823-0
1385	LP185771-5	LP19405-7
1386	LP185772-3	LP19405-7
1387	LP185773-1	LP7823-0
1388	LP185774-9	LP7823-0
1389	LP185775-6	LP19405-7
1390	LP185776-4	LP7823-0
1391	LP185777-2	LP33109-7
1392	LP18578-2	LP31660-1
1393	LP18579-0	LP14913-5
1394	LP185793-9	LP7720-8
1395	LP185795-4	LP158077-0
1396	LP185797-0	LP158077-0
1397	LP18580-8	LP31392-1
1398	LP185800-2	LP6404-0
1399	LP185800-2	LP33100-6
1400	LP185802-8	LP7827-1
1401	LP18581-6	LP31412-7
1402	LP185820-0	LP33109-7
1403	LP185908-3	LP7823-0
1404	LP185909-1	LP7827-1
1405	LP185911-7	LP343633-6
1406	LP185928-1	LP15033-1
1407	LP185931-5	LP183760-0
1408	LP185933-1	LP15704-7
1409	LP185934-9	LP15704-7
1410	LP185935-6	LP185947-1
1411	LP185936-4	LP213613-5
1412	LP185937-2	LP185947-1
1413	LP185938-0	LP213613-5
1414	LP185939-8	LP213613-5
1415	LP185940-6	LP213613-5
1416	LP185941-4	LP213613-5
1417	LP185968-7	LP157423-7
1418	LP185970-3	LP157423-7
1419	LP185971-1	LP157423-7
1420	LP185972-9	LP157423-7
1421	LP185973-7	LP157423-7
1422	LP185974-5	LP157423-7
1423	LP185975-2	LP157423-7
1424	LP185976-0	LP157423-7
1425	LP185977-8	LP157423-7
1426	LP185978-6	LP157423-7
1427	LP185979-4	LP157423-7
1428	LP185980-2	LP157423-7
1429	LP185981-0	LP157423-7
1430	LP185986-9	LP7827-1
1431	LP185987-7	LP7827-1
1432	LP185988-5	LP19405-7
1433	LP185989-3	LP7823-0
1434	LP185990-1	LP7827-1
1435	LP185991-9	LP19405-7
1436	LP185992-7	LP7823-0
1437	LP185993-5	LP7823-0
1438	LP185994-3	LP7823-0
1439	LP186026-3	
1440	LP186036-2	LP31392-1
1441	LP186037-0	LP31392-1
1442	LP18605-3	LP31392-1
1443	LP186074-3	LP31953-0
1444	LP186074-3	LP31675-9
1445	LP186092-5	LP7827-1
1446	LP186094-1	LP7827-1
1447	LP186095-8	LP7823-0
1448	LP186128-7	LP185946-3
1449	LP186172-5	LP186170-9
1450	LP186173-3	LP183760-0
1451	LP18626-9	LP31410-1
1452	LP18628-5	LP15838-3
1453	LP18632-7	LP7839-6
1454	LP18633-5	LP15151-1
1455	LP18642-6	LP31395-4
1456	LP18644-2	LP14913-5
1457	LP18645-9	LP14913-5
1458	LP18646-7	LP14913-5
1459	LP18650-9	LP14913-5
1460	LP18653-3	LP15161-0
1461	LP18654-1	LP15161-0
1462	LP18655-8	LP14497-9
1463	LP18666-5	LP15560-3
1464	LP18674-9	LP18377-9
1465	LP18675-6	LP18377-9
1466	LP18676-4	LP18377-9
1467	LP18677-2	LP18377-9
1468	LP18678-0	LP18377-9
1469	LP18679-8	LP18377-9
1470	LP18680-6	LP18377-9
1471	LP18681-4	LP18377-9
1472	LP18695-4	LP36680-4
1473	LP18697-0	LP36680-4
1474	LP18699-6	LP15838-3
1475	LP187079-1	LP31399-6
1476	LP187144-3	LP63732-9
1477	LP187145-0	LP62875-7
1478	LP187146-8	LP63732-9
1479	LP187147-6	LP63732-9
1480	LP187190-6	LP185820-0
1481	LP187192-2	LP7786-9
1482	LP18776-2	LP15412-7
1483	LP18777-0	LP15412-7
1484	LP18778-8	LP15560-3
1485	LP18790-3	LP183760-0
1486	LP18790-3	LP31696-5
1487	LP18811-7	LP14045-6
1488	LP188415-6	LP193271-6
1489	LP188416-4	LP193271-6
1490	LP188417-2	LP193271-6
1491	LP188418-0	LP193271-6
1492	LP188419-8	LP193271-6
1493	LP188448-7	LP31663-5
1494	LP188449-5	LP15636-1
1495	LP188450-3	LP192128-9
1496	LP188520-3	LP192128-9
1497	LP18861-2	LP15835-9
1498	LP18861-2	LP7844-6
1499	LP18869-5	LP15935-7
1500	LP18869-5	LP16849-9
1501	LP18870-3	LP15935-7
1502	LP18870-3	LP31771-6
1503	LP18871-1	LP31771-6
1504	LP18871-1	LP16849-9
1505	LP18872-9	LP31771-6
1506	LP18873-7	LP16846-5
1507	LP18873-7	LP32788-9
1508	LP18874-5	LP16846-5
1509	LP18874-5	LP32788-9
1510	LP18875-2	LP31771-6
1511	LP188772-0	LP33123-8
1512	LP18887-7	LP31649-4
1513	LP189000-5	LP32748-3
1514	LP189002-1	LP18218-5
1515	LP18908-1	LP15444-0
1516	LP18909-9	LP15444-0
1517	LP18913-1	LP31415-0
1518	LP18916-4	LP31399-6
1519	LP18928-9	LP14656-0
1520	LP18934-7	LP18377-9
1521	LP189445-2	LP31655-1
1522	LP189526-9	LP31406-9
1523	LP189527-7	LP31953-0
1524	LP189528-5	LP31953-0
1525	LP189532-7	LP31392-1
1526	LP18957-8	LP14661-0
1527	LP189602-8	LP31392-1
1528	LP189603-6	LP31953-0
1529	LP189604-4	LP31953-0
1530	LP189606-9	LP31953-0
1531	LP189607-7	LP31953-0
1532	LP189608-5	LP31953-0
1533	LP189709-1	LP6165-7
1534	LP189709-1	LP185751-7
1535	LP189731-5	LP94848-6
1536	LP189752-1	LP7825-5
1537	LP189756-2	LP7825-5
1538	LP189757-0	LP7825-5
1539	LP189759-6	LP7825-5
1540	LP189760-4	LP192128-9
1541	LP189766-1	LP29325-5
1542	LP18982-6	LP30867-3
1543	LP18983-4	LP15157-8
1544	LP18990-9	LP14488-8
1545	LP189964-2	LP31728-6
1546	LP190355-0	LP190356-8
1547	LP190358-4	LP190357-6
1548	LP190654-6	LP32511-5
1549	LP190767-6	LP15543-9
1550	LP190776-7	LP15415-0
1551	LP19134-3	LP32886-1
1552	LP19175-6	LP33079-2
1553	LP191793-1	LP31953-0
1554	LP19203-6	LP7786-9
1555	LP19210-1	LP15852-4
1556	LP19211-9	LP15851-6
1557	LP192150-3	LP192112-3
1558	LP19230-9	LP15874-8
1559	LP19233-3	LP14045-6
1560	LP19251-5	LP15709-6
1561	LP19252-3	LP14497-9
1562	LP19264-8	LP31392-1
1563	LP19267-1	LP15331-9
1564	LP19301-8	LP15318-6
1565	LP19303-4	LP15318-6
1566	LP19304-2	LP66333-3
1567	LP19305-9	LP15318-6
1568	LP19306-7	LP70195-0
1569	LP19307-5	LP66332-5
1570	LP19308-3	LP15318-6
1571	LP19309-1	LP15318-6
1572	LP19310-9	LP15318-6
1573	LP19311-7	LP66335-8
1574	LP19312-5	LP15318-6
1575	LP19313-3	LP15318-6
1576	LP19314-1	LP66334-1
1577	LP19315-8	LP65147-8
1578	LP19316-6	LP15318-6
1579	LP19317-4	LP15318-6
1580	LP19318-2	LP15318-6
1581	LP19319-0	LP15318-6
1582	LP19320-8	LP15318-6
1583	LP19321-6	LP15318-6
1584	LP19322-4	LP15318-6
1585	LP19323-2	LP15318-6
1586	LP19324-0	LP15318-6
1587	LP19325-7	LP15318-6
1588	LP19326-5	LP15318-6
1589	LP19327-3	LP15318-6
1590	LP193274-0	LP31397-0
1591	LP19328-1	LP15318-6
1592	LP193280-7	LP212476-8
1593	LP193287-2	LP189384-3
1594	LP193289-8	LP193290-6
1595	LP19329-9	LP15318-6
1596	LP193291-4	LP193292-2
1597	LP19330-7	LP15318-6
1598	LP193850-7	LP40340-9
1599	LP193958-8	LP15554-6
1600	LP193959-6	LP187079-1
1601	LP19403-2	LP7786-9
1602	LP19405-7	LP7822-2
1603	LP19409-9	LP31419-2
1604	LP19421-4	LP14492-0
1605	LP19423-0	LP14679-2
1606	LP19424-8	LP18581-6
1607	LP19447-9	LP15573-6
1608	LP19449-5	LP32866-3
1609	LP19460-2	LP15704-7
1610	LP19487-5	LP18377-9
1611	LP19488-3	LP31396-2
1612	LP19490-9	LP18377-9
1613	LP19492-5	LP31392-1
1614	LP19494-1	LP18439-7
1615	LP19497-4	LP31433-3
1616	LP19499-0	LP15327-7
1617	LP19508-8	LP15759-1
1618	LP19554-2	LP18218-5
1619	LP19555-9	LP18218-5
1620	LP19556-7	LP18218-5
1621	LP19557-5	LP18218-5
1622	LP19558-3	LP18218-5
1623	LP19559-1	LP18218-5
1624	LP19625-0	LP14672-7
1625	LP19648-2	LP19474-3
1626	LP19652-4	LP19503-9
1627	LP19657-3	LP19656-5
1628	LP19658-1	LP19656-5
1629	LP19659-9	LP19656-5
1630	LP19660-7	LP19656-5
1631	LP19661-5	LP19656-5
1632	LP19662-3	LP19656-5
1633	LP19663-1	LP19656-5
1634	LP19664-9	LP19656-5
1635	LP19665-6	LP19656-5
1636	LP19668-0	LP19666-4
1637	LP19670-6	LP31855-7
1638	LP19672-2	LP19671-4
1639	LP19673-0	LP19671-4
1640	LP19674-8	LP19671-4
1641	LP19685-4	LP19684-7
1642	LP19692-0	LP29042-6
1643	LP19694-6	LP19693-8
1644	LP19698-7	LP19697-9
1645	LP19707-6	LP19706-8
1646	LP19708-4	LP19706-8
1647	LP19709-2	LP19706-8
1648	LP19720-9	LP19719-1
1649	LP19725-8	LP19724-1
1650	LP19726-6	LP19724-1
1651	LP19732-4	LP7824-8
1652	LP19735-7	LP31856-5
1653	LP19737-3	LP31856-5
1654	LP19743-1	LP31891-2
1655	LP19744-9	LP35547-6
1656	LP19749-8	LP7824-8
1657	LP19766-2	LP19765-4
1658	LP19767-0	LP19765-4
1659	LP19774-6	LP36229-0
1660	LP19775-3	LP32777-2
1661	LP19776-1	LP32778-0
1662	LP19777-9	LP32749-1
1663	LP19778-7	LP32749-1
1664	LP19779-5	LP32749-1
1665	LP19780-3	LP36232-4
1666	LP19781-1	LP96328-7
1667	LP19782-9	LP96328-7
1668	LP19783-7	LP96328-7
1669	LP19784-5	LP193279-9
1670	LP19786-0	LP193279-9
1671	LP19787-8	LP193279-9
1672	LP19788-6	LP193279-9
1673	LP19790-2	LP193279-9
1674	LP19791-0	LP193279-9
1675	LP19792-8	LP193279-9
1676	LP19793-6	LP193279-9
1677	LP19794-4	LP193279-9
1678	LP19795-1	LP193279-9
1679	LP19796-9	LP193279-9
1680	LP19798-5	LP193279-9
1681	LP19799-3	LP63732-9
1682	LP19800-9	LP63732-9
1683	LP19801-7	LP63732-9
1684	LP19802-5	LP63732-9
1685	LP19803-3	LP63732-9
1686	LP19838-9	LP19837-1
1687	LP19839-7	LP19837-1
1688	LP19850-4	LP150238-6
1689	LP19851-2	LP150238-6
1690	LP19866-0	LP15493-7
1691	LP199187-8	LP111381-2
1692	LP199188-6	LP111381-2
1693	LP199189-4	LP70194-3
1694	LP199193-6	LP70194-3
1695	LP199479-9	LP31953-0
1696	LP199480-7	LP31953-0
1697	LP199482-3	LP200316-0
1698	LP199493-0	LP36216-7
1699	LP199506-9	LP31663-5
1700	LP199508-5	LP199507-7
1701	LP199510-1	LP6165-7
1702	LP199515-0	LP31397-0
1703	LP199517-6	LP15730-2
