	child	parent
199	LP14511-7	LP29636-5
200	LP14512-5	LP411705-9
201	LP14513-3	LP29636-5
202	LP14514-1	LP29636-5
203	LP14515-8	LP29636-5
204	LP14516-6	LP29636-5
205	LP14517-4	LP29636-5
206	LP14518-2	LP18033-8
207	LP14519-0	LP29636-5
208	LP14520-8	LP18033-8
209	LP14536-4	LP31400-2
210	LP14536-4	LP7840-4
211	LP14543-0	LP31412-7
212	LP14544-8	LP14651-1
213	LP14545-5	LP31747-6
214	LP14554-7	LP31617-1
215	LP145565-0	LP7789-3
216	LP14559-6	LP7819-8
217	LP145593-2	LP33025-5
218	LP145674-0	LP145691-4
219	LP145733-4	LP31745-0
220	LP145766-4	LP62057-2
221	LP145767-2	LP62057-2
222	LP145768-0	LP62057-2
223	LP145812-6	LP33107-1
224	LP145955-3	LP29325-5
225	LP145976-9	LP19684-7
226	LP145977-7	LP63593-5
227	LP145978-5	LP150162-8
228	LP145979-3	LP19680-5
229	LP145980-1	LP36032-8
230	LP145985-0	LP15275-8
231	LP145987-6	LP15275-8
232	LP145988-4	LP15493-7
233	LP145990-0	LP21033-3
234	LP145992-6	LP15493-7
235	LP145993-4	LP14355-9
236	LP145995-9	LP15838-3
237	LP145996-7	LP14355-9
238	LP145997-5	LP15838-3
239	LP145998-3	LP15493-7
240	LP145999-1	LP15275-8
241	LP14635-4	LP31399-6
242	LP14635-4	LP234174-3
243	LP14635-4	LP65098-3
244	LP14635-4	LP40317-7
245	LP14637-0	LP14676-8
246	LP14638-8	LP31419-2
247	LP14638-8	LP65098-3
248	LP14640-4	LP32866-3
249	LP14642-0	LP14643-8
250	LP14643-8	LP15833-4
251	LP14647-9	LP30809-5
252	LP14649-5	LP31396-2
253	LP14649-5	LP7844-6
254	LP14650-3	LP31412-7
255	LP14651-1	LP31662-7
256	LP14651-1	LP31412-7
257	LP14651-1	LP57347-4
258	LP14652-9	LP31412-7
259	LP14654-5	LP31392-1
260	LP14654-5	LP7844-6
261	LP14656-0	LP31660-1
262	LP14656-0	LP30682-6
263	LP14658-6	LP15026-5
264	LP14661-0	LP31396-2
265	LP14663-6	LP14499-5
266	LP14663-6	LP18578-2
267	LP14664-4	LP14499-5
268	LP14665-1	LP31655-1
269	LP14666-9	LP57347-4
270	LP14667-7	LP31657-7
271	LP14669-3	LP31769-0
272	LP14671-9	LP31769-0
273	LP14672-7	LP31769-0
274	LP14674-3	LP31769-0
275	LP14676-8	LP31657-7
276	LP14676-8	LP7844-6
277	LP146762-2	LP33103-0
278	LP14679-2	LP15838-3
279	LP14683-4	LP31660-1
280	LP14684-2	LP31392-1
281	LP14684-2	LP30729-5
282	LP14684-2	LP7844-6
283	LP14685-9	LP31403-6
284	LP14685-9	LP7844-6
285	LP14686-7	LP31403-6
286	LP14688-3	LP31660-1
287	LP14689-1	LP31412-7
288	LP14690-9	LP15316-0
289	LP14693-3	LP31415-0
290	LP14694-1	LP31656-9
291	LP14695-8	LP31660-1
292	LP14695-8	LP7844-6
293	LP14697-4	LP31666-8
294	LP14697-4	LP32938-0
295	LP14698-2	LP15928-2
296	LP14700-6	LP7839-6
297	LP14712-1	LP37950-0
298	LP14712-1	LP30682-6
299	LP14737-8	LP35677-1
300	LP14741-0	LP31415-0
301	LP14746-9	LP31399-6
302	LP14746-9	LP65098-3
303	LP14748-5	LP31406-9
304	LP14749-3	LP15704-7
305	LP14752-7	LP31400-2
306	LP14752-7	LP32818-4
307	LP14752-7	LP40317-7
308	LP14753-5	LP15825-0
309	LP14855-8	LP14559-6
310	LP14866-5	LP28807-3
311	LP14866-5	LP40224-5
312	LP14866-5	LP15705-4
313	LP14885-5	LP15838-3
314	LP14886-3	LP16874-7
315	LP14887-1	LP31691-6
316	LP14888-9	LP31400-2
317	LP14889-7	LP18033-8
318	LP14890-5	LP31409-3
319	LP14907-7	LP31519-9
320	LP14908-5	LP31655-1
321	LP14909-3	LP15157-8
322	LP14910-1	LP14913-5
323	LP14912-7	LP31413-5
324	LP14913-5	LP7786-9
325	LP14914-3	LP18033-8
326	LP14915-0	LP31392-1
327	LP14915-0	LP31400-2
328	LP149219-0	LP149286-9
329	LP149221-6	LP33553-6
330	LP149227-3	LP14640-4
331	LP149244-8	LP150153-7
332	LP149576-3	LP15778-1
333	LP149694-4	LP56768-2
334	LP149700-9	LP33101-4
335	LP14974-7	LP31663-5
336	LP149743-9	LP6165-7
337	LP14975-4	LP18377-9
338	LP14976-2	LP18033-8
339	LP14977-0	LP31415-0
340	LP150065-3	LP7501-2
341	LP150069-5	LP6891-8
342	LP150070-3	LP6831-4
343	LP15012-5	LP18329-0
344	LP150153-7	LP15838-3
345	LP15020-8	LP31392-1
346	LP150209-7	LP15838-3
347	LP15021-6	LP31392-1
348	LP15022-4	LP28550-9
349	LP15023-2	LP15838-3
350	LP15024-0	LP18699-6
351	LP15025-7	LP31392-1
352	LP15026-5	LP31392-1
353	LP15027-3	LP18435-5
354	LP15028-1	LP31392-1
355	LP15029-9	LP31392-1
356	LP15030-7	LP15155-2
357	LP15031-5	LP15155-2
358	LP15033-1	LP31392-1
359	LP15036-4	LP31396-2
360	LP15037-2	LP31392-1
361	LP15038-0	LP31392-1
362	LP15039-8	LP31392-1
363	LP15040-6	LP31399-6
364	LP15040-6	LP40317-7
365	LP15041-4	LP31748-4
366	LP15042-2	LP15900-1
367	LP15043-0	LP31392-1
368	LP15044-8	LP31392-1
369	LP15090-1	LP31396-2
370	LP15096-8	LP15090-1
371	LP15097-6	LP14693-3
372	LP15098-4	LP19403-2
373	LP15099-2	LP19403-2
374	LP15148-7	LP31653-6
375	LP15149-5	LP94520-1
376	LP15150-3	LP31400-2
377	LP15150-3	LP7840-4
378	LP15151-1	LP14913-5
379	LP15152-9	LP31656-9
380	LP15153-7	LP14913-5
381	LP15154-5	LP14913-5
382	LP15155-2	LP31769-0
383	LP15157-8	LP7786-9
384	LP15157-8	LP31434-1
385	LP15158-6	LP18033-8
386	LP15159-4	LP15273-3
387	LP15160-2	LP31392-1
388	LP15161-0	LP14913-5
389	LP15251-9	LP31653-6
390	LP15252-7	LP31653-6
391	LP15254-3	LP89380-7
392	LP15254-3	LP31695-7
393	LP15254-3	LP40317-7
394	LP15257-6	LP31413-5
395	LP15263-4	LP31399-6
396	LP15263-4	LP65098-3
397	LP15269-1	LP31399-6
398	LP15269-1	LP65098-3
399	LP15269-1	LP30682-6
400	LP15271-7	LP18435-5
401	LP15272-5	LP31410-1
402	LP15273-3	LP31392-1
403	LP15274-1	LP31687-4
404	LP15275-8	LP15705-4
405	LP15277-4	LP31696-5
406	LP15277-4	LP31395-4
407	LP15278-2	LP31392-1
408	LP15279-0	LP31652-8
409	LP15283-2	LP31653-6
410	LP15284-0	LP31654-4
411	LP15285-7	LP31654-4
412	LP15286-5	LP31654-4
413	LP15287-3	LP31654-4
414	LP15288-1	LP31654-4
415	LP15289-9	LP31653-6
416	LP15290-7	LP31653-6
417	LP15291-5	LP31653-6
418	LP15292-3	LP31653-6
419	LP15293-1	LP31653-6
420	LP15294-9	LP15618-9
421	LP15295-6	LP31392-1
422	LP15296-4	LP31663-5
423	LP15297-2	LP417252-6
424	LP15299-8	LP31654-4
425	LP15301-2	LP31727-8
426	LP15302-0	LP15271-7
427	LP15303-8	LP31652-8
428	LP15304-6	LP31694-0
429	LP15305-3	LP31392-1
430	LP15306-1	LP31392-1
431	LP15307-9	LP31392-1
432	LP15308-7	LP31392-1
433	LP15312-9	LP28813-1
434	LP15314-5	LP31403-6
435	LP15315-2	LP31392-1
436	LP15316-0	LP31392-1
437	LP15317-8	LP31419-2
438	LP15318-6	LP14483-9
439	LP15319-4	LP200316-0
440	LP15320-2	LP31405-1
441	LP15323-6	LP31392-1
442	LP15324-4	LP31405-1
443	LP15325-1	LP31405-1
444	LP15326-9	LP31392-1
445	LP15327-7	LP35677-1
446	LP15327-7	LP31405-1
447	LP15328-5	LP31392-1
448	LP15329-3	LP31392-1
449	LP15330-1	LP18033-8
450	LP15331-9	LP18033-8
451	LP15332-7	LP31392-1
452	LP15333-5	LP31392-1
453	LP15336-8	LP31399-6
454	LP15338-4	LP31392-1
455	LP15339-2	LP31653-6
456	LP15341-8	LP18035-3
457	LP15342-6	LP18035-3
458	LP15343-4	LP18035-3
459	LP15345-9	LP18035-3
460	LP15346-7	LP31392-1
461	LP15347-5	LP32866-3
462	LP15348-3	LP32866-3
463	LP15349-1	LP32866-3
464	LP15350-9	LP32866-3
465	LP15351-7	LP32866-3
466	LP15352-5	LP18033-8
467	LP15353-3	LP31651-0
468	LP15354-1	LP18033-8
469	LP15355-8	LP31392-1
470	LP15355-8	LP30682-6
471	LP15355-8	LP30729-5
472	LP15357-4	LP15360-8
473	LP15358-2	LP15360-8
474	LP15359-0	LP15360-8
475	LP15360-8	LP21033-3
476	LP15361-6	LP15364-0
477	LP15362-4	LP15364-0
478	LP15363-2	LP15364-0
479	LP15364-0	LP21033-3
480	LP15365-7	LP31399-6
481	LP15366-5	LP31744-3
482	LP15367-3	LP31392-1
483	LP15368-1	LP31665-0
484	LP15369-9	LP28550-9
485	LP15371-5	LP17187-3
486	LP15372-3	LP17187-3
487	LP15373-1	LP17187-3
488	LP15374-9	LP17187-3
489	LP15375-6	LP17187-3
490	LP15376-4	LP17187-3
491	LP15377-2	LP15834-2
492	LP15378-0	LP15834-2
493	LP15381-4	LP14071-2
494	LP15382-2	LP14071-2
495	LP15383-0	LP31406-9
496	LP15384-8	LP31745-0
497	LP15385-5	LP31654-4
498	LP15386-3	LP31654-4
499	LP15387-1	LP31392-1
500	LP15388-9	LP31409-3
501	LP15389-7	LP31409-3
502	LP15390-5	LP31409-3
503	LP15392-1	LP30809-5
504	LP15393-9	LP18033-8
505	LP15395-4	LP15410-1
506	LP15396-2	LP15410-1
507	LP15397-0	LP15400-2
508	LP15398-8	LP15400-2
509	LP15399-6	LP15400-2
510	LP15400-2	LP31407-7
511	LP15401-0	LP15411-9
512	LP15402-8	LP15411-9
513	LP15403-6	LP15411-9
514	LP15404-4	LP15410-1
515	LP15405-1	LP15412-7
516	LP15408-5	LP31407-7
517	LP15409-3	LP31407-7
518	LP15410-1	LP31407-7
519	LP15411-9	LP31407-7
520	LP15412-7	LP31407-7
521	LP15413-5	LP15505-8
522	LP15414-3	LP33085-9
523	LP15415-0	LP31406-9
524	LP15416-8	LP18033-8
525	LP15417-6	LP31406-9
526	LP15418-4	LP31406-9
527	LP15419-2	LP31406-9
528	LP15422-6	LP31406-9
529	LP15423-4	LP31406-9
530	LP15424-2	LP18033-8
531	LP15425-9	LP18033-8
532	LP15426-7	LP31392-1
533	LP15428-3	LP31400-2
534	LP15429-1	LP31400-2
535	LP15430-9	LP31433-3
536	LP15431-7	LP15331-9
537	LP15432-5	LP31649-4
538	LP15433-3	LP15838-3
539	LP15434-1	LP31392-1
540	LP15436-6	LP31650-2
541	LP15437-4	LP31392-1
542	LP15438-2	LP36815-6
543	LP15439-0	LP31744-3
544	LP15440-8	LP14022-5
545	LP15441-6	LP19403-2
546	LP15443-2	LP31397-0
547	LP15444-0	LP31397-0
548	LP15445-7	LP15448-1
549	LP15446-5	LP15448-1
550	LP15447-3	LP15448-1
551	LP15448-1	LP31397-0
552	LP15448-1	LP40317-7
553	LP15449-9	LP15448-1
554	LP15450-7	LP204179-8
555	LP15451-5	LP31698-1
556	LP15452-3	LP31406-9
557	LP15454-9	LP31399-6
558	LP15455-6	LP64575-1
559	LP15455-6	LP31395-4
560	LP15456-4	LP31696-5
561	LP15457-2	LP15553-8
562	LP15458-0	LP15257-6
563	LP15461-4	LP31412-7
564	LP15463-0	LP31412-7
565	LP15464-8	LP31412-7
566	LP15465-5	LP31412-7
567	LP15466-3	LP31412-7
568	LP15467-1	LP31412-7
569	LP15467-1	LP57347-4
570	LP15468-9	LP31406-9
571	LP15469-7	LP15468-9
572	LP15470-5	LP15150-3
573	LP15472-1	LP31400-2
574	LP15473-9	LP31392-1
575	LP15475-4	LP31392-1
576	LP15476-2	LP18033-8
577	LP15477-0	LP31395-4
578	LP15478-8	LP31392-1
579	LP15479-6	LP15838-3
580	LP15480-4	LP411043-5
581	LP15481-2	LP15444-0
582	LP15482-0	LP15481-2
583	LP15483-8	LP19403-2
584	LP15485-3	LP411043-5
585	LP15486-1	LP31655-1
586	LP15487-9	LP183760-0
587	LP15488-7	LP15493-7
588	LP15489-5	LP15493-7
589	LP15490-3	LP15493-7
590	LP15491-1	LP15493-7
591	LP15492-9	LP15493-7
592	LP15493-7	LP183760-0
593	LP15494-5	LP15493-7
