group_num	property	value	terms
1	METHOD_TYP-supplementary	LP6617-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	PROPERTY-supplementary	LP6813-2	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	SCALE_TYP-supplementary	LP32888-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	analyte-core	LP33405-9	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	category	LP6572-4	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	category	LP7787-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	class_	LP29684-5	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
2	METHOD_TYP-supplementary	LP208655-3	100369-8|30695-1
2	PROPERTY-supplementary	LP6813-2	100369-8|30695-1
2	SCALE_TYP-supplementary	LP32888-7	100369-8|30695-1
2	analyte-core	LP28726-5	100369-8|30695-1
2	category	LP7636-6	100369-8|30695-1
2	category	LP7787-7	100369-8|30695-1
2	class_	LP29684-5	100369-8|30695-1
3	METHOD_TYP-supplementary	LP134107-4	100438-1|100547-9|68617-0
3	PROPERTY-supplementary	LP6813-2	100438-1|100547-9|68617-0
3	SCALE_TYP-supplementary	LP32888-7	100438-1|100547-9|68617-0
3	analyte-core	LP74253-3	100438-1|100547-9|68617-0
3	category	LP72988-6	100438-1|100547-9|68617-0
3	category	LP7787-7	100438-1|100547-9|68617-0
3	class_	LP32519-8	100438-1|100547-9|68617-0
4	METHOD_TYP-supplementary	LP345052-7	100439-9|100548-7|68631-1
4	PROPERTY-supplementary	LP6813-2	100439-9|100548-7|68631-1
4	SCALE_TYP-supplementary	LP32888-7	100439-9|100548-7|68631-1
4	analyte-core	LP74253-3	100439-9|100548-7|68631-1
4	category	LP345116-0	100439-9|100548-7|68631-1
4	category	LP7787-7	100439-9|100548-7|68631-1
4	class_	LP32519-8	100439-9|100548-7|68631-1
5	METHOD_TYP-supplementary	LP345116-0	100440-7|100549-5|95757-1
5	PROPERTY-supplementary	LP6813-2	100440-7|100549-5|95757-1
5	SCALE_TYP-supplementary	LP32888-7	100440-7|100549-5|95757-1
5	analyte-core	LP74253-3	100440-7|100549-5|95757-1
5	category	LP72988-6	100440-7|100549-5|95757-1
5	category	LP7787-7	100440-7|100549-5|95757-1
5	class_	LP32519-8	100440-7|100549-5|95757-1
6	METHOD_TYP-supplementary	LP269960-3	100441-5|100550-3|18733-6
6	PROPERTY-supplementary	LP6813-2	100441-5|100550-3|18733-6
6	SCALE_TYP-supplementary	LP32888-7	100441-5|100550-3|18733-6
6	analyte-core	LP74253-3	100441-5|100550-3|18733-6
6	category	LP72988-6	100441-5|100550-3|18733-6
6	category	LP7787-7	100441-5|100550-3|18733-6
6	class_	LP32519-8	100441-5|100550-3|18733-6
7	METHOD_TYP-supplementary	LP135586-8	100442-3|100551-1|77426-5
7	PROPERTY-supplementary	LP6813-2	100442-3|100551-1|77426-5
7	SCALE_TYP-supplementary	LP32888-7	100442-3|100551-1|77426-5
7	analyte-core	LP74253-3	100442-3|100551-1|77426-5
7	category	LP72988-6	100442-3|100551-1|77426-5
7	category	LP7787-7	100442-3|100551-1|77426-5
7	class_	LP32519-8	100442-3|100551-1|77426-5
8	METHOD_TYP-supplementary	LP248499-8	100443-1|100552-9|85515-5
8	PROPERTY-supplementary	LP6813-2	100443-1|100552-9|85515-5
8	SCALE_TYP-supplementary	LP32888-7	100443-1|100552-9|85515-5
8	analyte-core	LP74253-3	100443-1|100552-9|85515-5
8	category	LP32925-7	100443-1|100552-9|85515-5
8	category	LP7787-7	100443-1|100552-9|85515-5
8	class_	LP32519-8	100443-1|100552-9|85515-5
9	METHOD_TYP-supplementary	LP212269-7	100444-9|100553-7|89795-9
9	PROPERTY-supplementary	LP6813-2	100444-9|100553-7|89795-9
9	SCALE_TYP-supplementary	LP32888-7	100444-9|100553-7|89795-9
9	analyte-core	LP74253-3	100444-9|100553-7|89795-9
9	category	LP72988-6	100444-9|100553-7|89795-9
9	category	LP7787-7	100444-9|100553-7|89795-9
9	class_	LP32519-8	100444-9|100553-7|89795-9
10	METHOD_TYP-supplementary	LP417850-7	100445-6|100554-5|94468-6
10	PROPERTY-supplementary	LP6813-2	100445-6|100554-5|94468-6
10	SCALE_TYP-supplementary	LP32888-7	100445-6|100554-5|94468-6
10	analyte-core	LP74253-3	100445-6|100554-5|94468-6
10	category	LP72988-6	100445-6|100554-5|94468-6
10	category	LP7787-7	100445-6|100554-5|94468-6
10	class_	LP32519-8	100445-6|100554-5|94468-6
11	METHOD_TYP-supplementary	LP420040-0	100446-4|100555-2|95802-5
11	PROPERTY-supplementary	LP6813-2	100446-4|100555-2|95802-5
11	SCALE_TYP-supplementary	LP32888-7	100446-4|100555-2|95802-5
11	analyte-core	LP74253-3	100446-4|100555-2|95802-5
11	category	LP72988-6	100446-4|100555-2|95802-5
11	category	LP7787-7	100446-4|100555-2|95802-5
11	class_	LP32519-8	100446-4|100555-2|95802-5
12	METHOD_TYP-supplementary	LP268359-9	100447-2|100556-0|90014-2
12	PROPERTY-supplementary	LP6813-2	100447-2|100556-0|90014-2
12	SCALE_TYP-supplementary	LP32888-7	100447-2|100556-0|90014-2
12	analyte-core	LP74253-3	100447-2|100556-0|90014-2
12	category	LP72988-6	100447-2|100556-0|90014-2
12	category	LP7787-7	100447-2|100556-0|90014-2
12	class_	LP32519-8	100447-2|100556-0|90014-2
13	METHOD_TYP-supplementary	LP207299-1	100448-0|100557-8|97571-4
13	PROPERTY-supplementary	LP6813-2	100448-0|100557-8|97571-4
13	SCALE_TYP-supplementary	LP32888-7	100448-0|100557-8|97571-4
13	analyte-core	LP74253-3	100448-0|100557-8|97571-4
13	category	LP32925-7	100448-0|100557-8|97571-4
13	category	LP7787-7	100448-0|100557-8|97571-4
13	class_	LP32519-8	100448-0|100557-8|97571-4
14	METHOD_TYP-supplementary	LP200112-3	100449-8|100558-6|97570-6
14	PROPERTY-supplementary	LP6813-2	100449-8|100558-6|97570-6
14	SCALE_TYP-supplementary	LP32888-7	100449-8|100558-6|97570-6
14	analyte-core	LP74253-3	100449-8|100558-6|97570-6
14	category	LP7787-7	100449-8|100558-6|97570-6
14	category	LP97125-6	100449-8|100558-6|97570-6
14	class_	LP32519-8	100449-8|100558-6|97570-6
15	METHOD_TYP-supplementary	LP135587-6	100450-6|100559-4|68646-9
15	PROPERTY-supplementary	LP6813-2	100450-6|100559-4|68646-9
15	SCALE_TYP-supplementary	LP32888-7	100450-6|100559-4|68646-9
15	analyte-core	LP74253-3	100450-6|100559-4|68646-9
15	category	LP6466-9	100450-6|100559-4|68646-9
15	category	LP7787-7	100450-6|100559-4|68646-9
15	class_	LP32519-8	100450-6|100559-4|68646-9
16	METHOD_TYP-supplementary	LP183697-4	100451-4|28580-9
16	PROPERTY-supplementary	LP6813-2	100451-4|28580-9
16	SCALE_TYP-supplementary	LP32888-7	100451-4|28580-9
16	analyte-core	LP74253-3	100451-4|28580-9
16	category	LP6180-6	100451-4|28580-9
16	category	LP7787-7	100451-4|28580-9
16	class_	LP32519-8	100451-4|28580-9
17	METHOD_TYP-supplementary	LP248746-2	100452-2|100560-2|94518-8
17	PROPERTY-supplementary	LP6813-2	100452-2|100560-2|94518-8
17	SCALE_TYP-supplementary	LP32888-7	100452-2|100560-2|94518-8
17	analyte-core	LP74253-3	100452-2|100560-2|94518-8
17	category	LP6252-3	100452-2|100560-2|94518-8
17	category	LP7787-7	100452-2|100560-2|94518-8
17	class_	LP32519-8	100452-2|100560-2|94518-8
18	METHOD_TYP-supplementary	LP134113-2	100453-0|100561-0|68659-2
18	PROPERTY-supplementary	LP6813-2	100453-0|100561-0|68659-2
18	SCALE_TYP-supplementary	LP32888-7	100453-0|100561-0|68659-2
18	analyte-core	LP74253-3	100453-0|100561-0|68659-2
18	category	LP72988-6	100453-0|100561-0|68659-2
18	category	LP7787-7	100453-0|100561-0|68659-2
18	class_	LP32519-8	100453-0|100561-0|68659-2
19	METHOD_TYP-supplementary	LP207649-7	100454-8|100562-8|80665-3
19	PROPERTY-supplementary	LP6813-2	100454-8|100562-8|80665-3
19	SCALE_TYP-supplementary	LP32888-7	100454-8|100562-8|80665-3
19	analyte-core	LP74253-3	100454-8|100562-8|80665-3
19	category	LP72988-6	100454-8|100562-8|80665-3
19	category	LP7787-7	100454-8|100562-8|80665-3
19	class_	LP32519-8	100454-8|100562-8|80665-3
20	METHOD_TYP-supplementary	LP208905-2	100455-5|100563-6|90011-8
20	PROPERTY-supplementary	LP6813-2	100455-5|100563-6|90011-8
20	SCALE_TYP-supplementary	LP32888-7	100455-5|100563-6|90011-8
20	analyte-core	LP74253-3	100455-5|100563-6|90011-8
20	category	LP6437-0	100455-5|100563-6|90011-8
20	category	LP7787-7	100455-5|100563-6|90011-8
20	class_	LP32519-8	100455-5|100563-6|90011-8
21	METHOD_TYP-supplementary	LP199468-2	100456-3|100564-4|97575-5
21	PROPERTY-supplementary	LP6813-2	100456-3|100564-4|97575-5
21	SCALE_TYP-supplementary	LP32888-7	100456-3|100564-4|97575-5
21	analyte-core	LP74253-3	100456-3|100564-4|97575-5
21	category	LP32925-7	100456-3|100564-4|97575-5
21	category	LP7787-7	100456-3|100564-4|97575-5
21	class_	LP32519-8	100456-3|100564-4|97575-5
22	METHOD_TYP-supplementary	LP269961-1	100457-1|100565-1|28569-2
22	PROPERTY-supplementary	LP6813-2	100457-1|100565-1|28569-2
22	SCALE_TYP-supplementary	LP32888-7	100457-1|100565-1|28569-2
22	analyte-core	LP74253-3	100457-1|100565-1|28569-2
22	category	LP72988-6	100457-1|100565-1|28569-2
22	category	LP7787-7	100457-1|100565-1|28569-2
22	class_	LP32519-8	100457-1|100565-1|28569-2
23	METHOD_TYP-supplementary	LP187178-1	100459-7|95041-0
23	PROPERTY-supplementary	LP6813-2	100459-7|95041-0
23	SCALE_TYP-supplementary	LP32888-7	100459-7|95041-0
23	analyte-core	LP418614-6	100459-7|95041-0
23	category	LP74253-3	100459-7|95041-0
23	category	LP7787-7	100459-7|95041-0
23	class_	LP32519-8	100459-7|95041-0
24	METHOD_TYP-supplementary	LP32891-1	100460-5|100567-7|78326-6
24	PROPERTY-supplementary	LP6813-2	100460-5|100567-7|78326-6
24	SCALE_TYP-supplementary	LP32888-7	100460-5|100567-7|78326-6
24	analyte-core	LP74253-3	100460-5|100567-7|78326-6
24	category	LP72988-6	100460-5|100567-7|78326-6
24	category	LP7787-7	100460-5|100567-7|78326-6
24	class_	LP32519-8	100460-5|100567-7|78326-6
25	METHOD_TYP-supplementary	LP134114-0	100461-3|100568-5|68668-3
25	PROPERTY-supplementary	LP6813-2	100461-3|100568-5|68668-3
25	SCALE_TYP-supplementary	LP32888-7	100461-3|100568-5|68668-3
25	analyte-core	LP74253-3	100461-3|100568-5|68668-3
25	category	LP134135-5	100461-3|100568-5|68668-3
25	category	LP7787-7	100461-3|100568-5|68668-3
25	class_	LP32519-8	100461-3|100568-5|68668-3
26	METHOD_TYP-supplementary	LP418386-1	100462-1|100569-3|95134-3
26	PROPERTY-supplementary	LP6813-2	100462-1|100569-3|95134-3
26	SCALE_TYP-supplementary	LP32888-7	100462-1|100569-3|95134-3
26	analyte-core	LP74253-3	100462-1|100569-3|95134-3
26	category	LP6226-7	100462-1|100569-3|95134-3
26	category	LP7787-7	100462-1|100569-3|95134-3
26	class_	LP32519-8	100462-1|100569-3|95134-3
27	METHOD_TYP-supplementary	LP345045-1	100463-9|100570-1|97572-2
27	PROPERTY-supplementary	LP6813-2	100463-9|100570-1|97572-2
27	SCALE_TYP-supplementary	LP32888-7	100463-9|100570-1|97572-2
27	analyte-core	LP74253-3	100463-9|100570-1|97572-2
27	category	LP72988-6	100463-9|100570-1|97572-2
27	category	LP7787-7	100463-9|100570-1|97572-2
27	class_	LP32519-8	100463-9|100570-1|97572-2
28	METHOD_TYP-supplementary	LP32935-6	100464-7|100571-9|78327-4
28	PROPERTY-supplementary	LP6813-2	100464-7|100571-9|78327-4
28	SCALE_TYP-supplementary	LP32888-7	100464-7|100571-9|78327-4
28	analyte-core	LP74253-3	100464-7|100571-9|78327-4
28	category	LP72988-6	100464-7|100571-9|78327-4
28	category	LP7787-7	100464-7|100571-9|78327-4
28	class_	LP32519-8	100464-7|100571-9|78327-4
29	METHOD_TYP-supplementary	LP182272-7	100465-4|100572-7|78324-1
29	PROPERTY-supplementary	LP6813-2	100465-4|100572-7|78324-1
29	SCALE_TYP-supplementary	LP32888-7	100465-4|100572-7|78324-1
29	analyte-core	LP74253-3	100465-4|100572-7|78324-1
29	category	LP72988-6	100465-4|100572-7|78324-1
29	category	LP7787-7	100465-4|100572-7|78324-1
29	class_	LP32519-8	100465-4|100572-7|78324-1
30	METHOD_TYP-supplementary	LP32892-9	100466-2|100573-5|78323-3
30	PROPERTY-supplementary	LP6813-2	100466-2|100573-5|78323-3
30	SCALE_TYP-supplementary	LP32888-7	100466-2|100573-5|78323-3
30	analyte-core	LP74253-3	100466-2|100573-5|78323-3
30	category	LP72988-6	100466-2|100573-5|78323-3
30	category	LP7787-7	100466-2|100573-5|78323-3
30	class_	LP32519-8	100466-2|100573-5|78323-3
31	METHOD_TYP-supplementary	LP97119-9	100467-0|100575-0|80815-4
31	PROPERTY-supplementary	LP6813-2	100467-0|100575-0|80815-4
31	SCALE_TYP-supplementary	LP32888-7	100467-0|100575-0|80815-4
31	analyte-core	LP74253-3	100467-0|100575-0|80815-4
31	category	LP72988-6	100467-0|100575-0|80815-4
31	category	LP7787-7	100467-0|100575-0|80815-4
31	class_	LP32519-8	100467-0|100575-0|80815-4
32	METHOD_TYP-supplementary	LP202988-4	100468-8|100576-8|89802-3
32	PROPERTY-supplementary	LP6813-2	100468-8|100576-8|89802-3
32	SCALE_TYP-supplementary	LP32888-7	100468-8|100576-8|89802-3
32	analyte-core	LP74253-3	100468-8|100576-8|89802-3
32	category	LP32910-9	100468-8|100576-8|89802-3
32	category	LP7787-7	100468-8|100576-8|89802-3
32	class_	LP32519-8	100468-8|100576-8|89802-3
33	METHOD_TYP-supplementary	LP32899-4	100469-6|100577-6
33	PROPERTY-supplementary	LP6813-2	100469-6|100577-6
33	SCALE_TYP-supplementary	LP32888-7	100469-6|100577-6
33	analyte-core	LP74253-3	100469-6|100577-6
33	category	LP72988-6	100469-6|100577-6
33	category	LP7787-7	100469-6|100577-6
33	class_	LP32519-8	100469-6|100577-6
34	METHOD_TYP-supplementary	LP412179-6	100470-4|100578-4|93900-9
34	PROPERTY-supplementary	LP6813-2	100470-4|100578-4|93900-9
34	SCALE_TYP-supplementary	LP32888-7	100470-4|100578-4|93900-9
34	analyte-core	LP74253-3	100470-4|100578-4|93900-9
34	category	LP72988-6	100470-4|100578-4|93900-9
34	category	LP7787-7	100470-4|100578-4|93900-9
34	class_	LP32519-8	100470-4|100578-4|93900-9
35	METHOD_TYP-supplementary	LP269421-6	100471-2|100579-2|90772-5
35	PROPERTY-supplementary	LP6813-2	100471-2|100579-2|90772-5
35	SCALE_TYP-supplementary	LP32888-7	100471-2|100579-2|90772-5
35	analyte-core	LP74253-3	100471-2|100579-2|90772-5
35	category	LP72988-6	100471-2|100579-2|90772-5
35	category	LP7787-7	100471-2|100579-2|90772-5
35	class_	LP32519-8	100471-2|100579-2|90772-5
36	METHOD_TYP-supplementary	LP269422-4	100472-0|100580-0|97577-1
36	PROPERTY-supplementary	LP6813-2	100472-0|100580-0|97577-1
36	SCALE_TYP-supplementary	LP32888-7	100472-0|100580-0|97577-1
36	analyte-core	LP74253-3	100472-0|100580-0|97577-1
36	category	LP269423-2	100472-0|100580-0|97577-1
36	category	LP7787-7	100472-0|100580-0|97577-1
36	class_	LP32519-8	100472-0|100580-0|97577-1
37	METHOD_TYP-supplementary	LP182273-5	100473-8|100581-8|78328-2
37	PROPERTY-supplementary	LP6813-2	100473-8|100581-8|78328-2
37	SCALE_TYP-supplementary	LP32888-7	100473-8|100581-8|78328-2
37	analyte-core	LP74253-3	100473-8|100581-8|78328-2
37	category	LP72988-6	100473-8|100581-8|78328-2
37	category	LP7787-7	100473-8|100581-8|78328-2
37	class_	LP32519-8	100473-8|100581-8|78328-2
38	METHOD_TYP-supplementary	LP97120-7	100474-6|100582-6|68554-5
38	PROPERTY-supplementary	LP6813-2	100474-6|100582-6|68554-5
38	SCALE_TYP-supplementary	LP32888-7	100474-6|100582-6|68554-5
38	analyte-core	LP74253-3	100474-6|100582-6|68554-5
38	category	LP32910-9	100474-6|100582-6|68554-5
38	category	LP7787-7	100474-6|100582-6|68554-5
38	class_	LP32519-8	100474-6|100582-6|68554-5
39	METHOD_TYP-supplementary	LP232010-1	100475-3|100583-4|96338-9
39	PROPERTY-supplementary	LP6813-2	100475-3|100583-4|96338-9
39	SCALE_TYP-supplementary	LP32888-7	100475-3|100583-4|96338-9
39	analyte-core	LP74253-3	100475-3|100583-4|96338-9
39	category	LP72988-6	100475-3|100583-4|96338-9
39	category	LP7787-7	100475-3|100583-4|96338-9
39	class_	LP32519-8	100475-3|100583-4|96338-9
40	METHOD_TYP-supplementary	LP345046-9	100476-1|100584-2|95746-4
40	PROPERTY-supplementary	LP6813-2	100476-1|100584-2|95746-4
40	SCALE_TYP-supplementary	LP32888-7	100476-1|100584-2|95746-4
40	analyte-core	LP74253-3	100476-1|100584-2|95746-4
40	category	LP72988-6	100476-1|100584-2|95746-4
40	category	LP7787-7	100476-1|100584-2|95746-4
40	class_	LP32519-8	100476-1|100584-2|95746-4
41	METHOD_TYP-supplementary	LP32901-8	100477-9|100585-9|78325-8
41	PROPERTY-supplementary	LP6813-2	100477-9|100585-9|78325-8
41	SCALE_TYP-supplementary	LP32888-7	100477-9|100585-9|78325-8
41	analyte-core	LP74253-3	100477-9|100585-9|78325-8
41	category	LP72988-6	100477-9|100585-9|78325-8
41	category	LP7787-7	100477-9|100585-9|78325-8
41	class_	LP32519-8	100477-9|100585-9|78325-8
42	METHOD_TYP-supplementary	LP136293-0	100478-7|100586-7|97578-9
42	PROPERTY-supplementary	LP6813-2	100478-7|100586-7|97578-9
42	SCALE_TYP-supplementary	LP32888-7	100478-7|100586-7|97578-9
42	analyte-core	LP74253-3	100478-7|100586-7|97578-9
42	category	LP72988-6	100478-7|100586-7|97578-9
42	category	LP7787-7	100478-7|100586-7|97578-9
42	class_	LP32519-8	100478-7|100586-7|97578-9
43	METHOD_TYP-supplementary	LP232012-7	100479-5|100587-5|97691-0
43	PROPERTY-supplementary	LP6813-2	100479-5|100587-5|97691-0
43	SCALE_TYP-supplementary	LP32888-7	100479-5|100587-5|97691-0
43	analyte-core	LP74253-3	100479-5|100587-5|97691-0
43	category	LP72988-6	100479-5|100587-5|97691-0
43	category	LP7787-7	100479-5|100587-5|97691-0
43	class_	LP32519-8	100479-5|100587-5|97691-0
44	METHOD_TYP-supplementary	LP57348-2	100480-3|100588-3|72556-4
44	PROPERTY-supplementary	LP6813-2	100480-3|100588-3|72556-4
44	SCALE_TYP-supplementary	LP32888-7	100480-3|100588-3|72556-4
44	analyte-core	LP74253-3	100480-3|100588-3|72556-4
44	category	LP6473-5	100480-3|100588-3|72556-4
44	category	LP7787-7	100480-3|100588-3|72556-4
44	class_	LP32519-8	100480-3|100588-3|72556-4
45	METHOD_TYP-supplementary	LP187178-1	100481-1|100589-1|97573-0
45	PROPERTY-supplementary	LP6813-2	100481-1|100589-1|97573-0
45	SCALE_TYP-supplementary	LP32888-7	100481-1|100589-1|97573-0
45	analyte-core	LP426670-8	100481-1|100589-1|97573-0
45	category	LP74253-3	100481-1|100589-1|97573-0
45	category	LP7787-7	100481-1|100589-1|97573-0
45	class_	LP32519-8	100481-1|100589-1|97573-0
46	METHOD_TYP-supplementary	LP417542-0	100482-9|100590-9|94749-9
46	PROPERTY-supplementary	LP6813-2	100482-9|100590-9|94749-9
46	SCALE_TYP-supplementary	LP32888-7	100482-9|100590-9|94749-9
46	analyte-core	LP74253-3	100482-9|100590-9|94749-9
46	category	LP72988-6	100482-9|100590-9|94749-9
46	category	LP7787-7	100482-9|100590-9|94749-9
46	class_	LP32519-8	100482-9|100590-9|94749-9
47	METHOD_TYP-supplementary	LP32903-4	100483-7|100591-7|34904-3
47	PROPERTY-supplementary	LP6813-2	100483-7|100591-7|34904-3
47	SCALE_TYP-supplementary	LP32888-7	100483-7|100591-7|34904-3
47	analyte-core	LP74253-3	100483-7|100591-7|34904-3
47	category	LP72988-6	100483-7|100591-7|34904-3
47	category	LP7787-7	100483-7|100591-7|34904-3
47	class_	LP32519-8	100483-7|100591-7|34904-3
48	METHOD_TYP-supplementary	LP134115-7	100484-5|100592-5|68679-0
48	PROPERTY-supplementary	LP6813-2	100484-5|100592-5|68679-0
48	SCALE_TYP-supplementary	LP32888-7	100484-5|100592-5|68679-0
48	analyte-core	LP74253-3	100484-5|100592-5|68679-0
48	category	LP72988-6	100484-5|100592-5|68679-0
48	category	LP7787-7	100484-5|100592-5|68679-0
48	class_	LP32519-8	100484-5|100592-5|68679-0
49	METHOD_TYP-supplementary	LP134116-5	100485-2|100593-3|78479-3
49	PROPERTY-supplementary	LP6813-2	100485-2|100593-3|78479-3
49	SCALE_TYP-supplementary	LP32888-7	100485-2|100593-3|78479-3
49	analyte-core	LP74253-3	100485-2|100593-3|78479-3
49	category	LP72988-6	100485-2|100593-3|78479-3
49	category	LP7787-7	100485-2|100593-3|78479-3
49	class_	LP32519-8	100485-2|100593-3|78479-3
50	METHOD_TYP-supplementary	LP32905-9	100486-0|100594-1|78480-1
50	PROPERTY-supplementary	LP6813-2	100486-0|100594-1|78480-1
50	SCALE_TYP-supplementary	LP32888-7	100486-0|100594-1|78480-1
50	analyte-core	LP74253-3	100486-0|100594-1|78480-1
50	category	LP72988-6	100486-0|100594-1|78480-1
50	category	LP7787-7	100486-0|100594-1|78480-1
50	class_	LP32519-8	100486-0|100594-1|78480-1
51	METHOD_TYP-supplementary	LP134117-3	100487-8|100595-8|68693-1
51	PROPERTY-supplementary	LP6813-2	100487-8|100595-8|68693-1
