Depth	LOINC - LOINC Categories	LOINC - LOINC Groups	LOINC - LoincPart	LOINC-SNOMED	CompLOINC-Primary - CompLOINC Groups	CompLOINC-Primary - LoincPart	CompLOINC-Primary - LoincTerm	CompLOINC-Supplementary - CompLOINC Groups	CompLOINC-Supplementary - LoincPart	CompLOINC-Supplementary - LoincTerm
1	0.00266851683834125	0.0026637542953038013	0.0006927318573526559	0.0014224548726191662	0.00014147052956663334	0.0006476264490641797	0.00018129079042784627	0.0006403237476868305	0.0006476264490641797	0.0010471971767564115
2	0.04269626941346	0.11986894328867106	21.44767103549558	0.017069458471429995	0.0004244115886999	20.246098050644388	0.0007251631617113851	0.0019209712430604913	20.246098050644388	0.004188788707025646
3	19.02652505737311	19.093790788737646	4.482667848929037	16.16904453706206	3.4141082900315625	4.2244673272456446	0.01595358955765047	15.449091060440159	4.2244673272456446	0.09215335155456421
4	80.92811015637508	80.78367651367839	3.2890908587104106	17.84611883188006	14.442019010809762	3.3650670293374785	14.533176214648297	14.281780868407068	3.3650670293374785	56.012482590346934
5	0.0	0.0	2.0747319127712047	13.920143383451162	14.809559446623876	2.4104656434168774	15.28118201595359	13.309769419418457	2.4104656434168774	35.02246237944143
6	0.0	0.0	6.783230347197207	10.463578042986587	13.693922850461407	7.23269218314876	13.806925308194343	13.242535425911342	7.23269218314876	7.752400699527715
7	0.0	0.0	13.026822577516695	7.571727286951821	13.09663427463108	13.446020335470502	13.159354604786078	12.800071716259742	13.446020335470502	0.9759877687369755
8	0.0	0.0	16.62210091717698	5.018420790600418	12.245123157169514	16.65436176413445	12.433647570703409	11.507898393427716	16.65436176413445	0.1361356329783335
9	0.0	0.0	14.716395577599823	4.189129599863444	10.472497421699599	14.537270902143643	10.968999274836838	8.657817392473635	14.537270902143643	0.0031415915302692348
10	0.0	0.0	8.790767269805205	4.140766134194393	7.489874246846267	8.956026164108541	8.073060188542422	5.386403365541618	8.956026164108541	0.0
11	0.0	0.0	5.322951591897808	4.196241874226541	4.921193841504907	5.450424195324137	5.4486947063089195	3.0293716503063948	5.450424195324137	0.0
12	0.0	0.0	2.517387569619552	3.359838409126471	2.9018435024707827	2.579496146622628	3.286620739666425	1.525891490737717	2.579496146622628	0.0
13	0.0	0.0	0.8257363739643659	1.9331161718894467	1.501992612408946	0.8024091703905188	1.761602610587382	0.5762913729181475	0.8024091703905188	0.0
14	0.0	0.0	0.0928260688852559	1.9672550888323068	0.6684482522023425	0.08807719707272844	0.8005801305293692	0.1978600380352306	0.08807719707272844	0.0
15	0.0	0.0	0.00692731857352656	0.9914510462155588	0.2628522439348047	0.006476264490641799	0.3275924583031182	0.03265651113202835	0.006476264490641799	0.0
16	0.0	0.0	0.0	0.9857612267250823	0.06903761842851706	0.0	0.08846990572878898	0.0	0.0	0.0
17	0.0	0.0	0.0	1.3157707571727286	0.0101858781287976	0.0	0.013052936910804933	0.0	0.0	0.0
18	0.0	0.0	0.0	2.2048050525597076	0.00014147052956663334	0.0	0.00018129079042784627	0.0	0.0	0.0
19	0.0	0.0	0.0	1.8861751610930142	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	1.0184776887953229	0.0	0.0	0.0	0.0	0.0	0.0
21	0.0	0.0	0.0	0.7055376168191064	0.0	0.0	0.0	0.0	0.0	0.0
22	0.0	0.0	0.0	0.08107992773929247	0.0	0.0	0.0	0.0	0.0	0.0
23	0.0	0.0	0.0	0.012802093853572494	0.0	0.0	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0	0.0028449097452383325	0.0	0.0	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0014224548726191662	0.0	0.0	0.0	0.0	0.0	0.0
