Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	0.00532509718302359	0.004062563477554336	0.0003167811654590265	0.0009980039920159682
2	0.16241546408221952	0.040625634775543366	0.0017950932709344834	0.005655355954757153
3	19.085148303956547	0.27219175299614057	2.366249712257108	7.45276114437791
4	80.74711113477821	1.6006500101564087	10.699917425709538	22.978376580172988
5	0.0	3.310989234206785	11.534530202972253	19.30938123752495
6	0.0	6.699167174487101	10.991356097931842	10.951430472388555
7	0.0	8.259191549867968	10.672991026645521	8.284763805721889
8	0.0	7.942311598618729	10.103946459759289	7.182302062541583
9	0.0	8.117001828153565	9.092992167057716	5.890884896872921
10	0.0	9.299207800121877	7.685322261479621	4.776779773785762
11	0.0	10.692667072923015	6.649975819037704	3.9404524284763807
12	0.0	8.856388381068454	5.558453516587718	3.0246174318030605
13	0.0	4.838513101767215	4.625955359198163	2.019294743845642
14	0.0	4.980702823481617	3.567589485399556	1.378243512974052
15	0.0	2.4822262847856997	2.567088971158131	0.6852960745176314
16	0.0	2.5594149908592323	1.7577130934103185	0.39920159680638717
17	0.0	3.5588056063375992	1.095851645044592	0.3546240851630073
18	0.0	6.1182205971968315	0.5737962843681166	0.5103127079174983
19	0.0	5.244769449522649	0.28668695474041894	0.4337990685296074
20	0.0	2.84785699776559	0.10453778460147874	0.2345309381237525
21	0.0	1.9987812309567339	0.055542297677149306	0.16367265469061876
22	0.0	0.22750355474304285	0.006124435865541178	0.018629407850964737
23	0.0	0.03656307129798903	0.0009503434963770794	0.0029940119760479044
24	0.0	0.008125126955108673	0.000211187443639351	0.0006653359946773121
25	0.0	0.004062563477554336	0.0001055937218196755	0.00033266799733865603
