Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	0	0.004062563477554336	0.0015367947072790283	0.0016182800919183093
2	0	0.040625634775543366	0.010757562950953196	0.011327960643428165
3	0	0.27219175299614057	0.16597382838613506	0.17477424992717738
4	0	1.6006500101564087	33.10639998155847	38.68903129753698
5	0	3.310989234206785	31.21537409425162	30.145321552254263
6	0	6.699167174487101	12.074596015091323	9.884454801437032
7	0	8.259191549867968	5.743770218455368	3.824804997248924
8	0	7.942311598618729	3.2042169646767737	2.369971194614364
9	0	8.117001828153565	1.927908960281541	1.7679710004207527
10	0	9.299207800121877	1.8503008275639499	1.8723500663494836
11	0	10.692667072923015	2.088504007192199	2.192769524549309
12	0	8.856388381068454	1.811880959881974	1.9063339482797683
13	0	4.838513101767215	1.0096741226823214	1.0632100203903292
14	0	4.980702823481617	0.9920009835486127	1.0445997993332685
15	0	2.4822262847856997	0.46872238572010355	0.4935754280350843
16	0	2.5594149908592323	0.5002266772193237	0.5267501699194097
17	0	3.5588056063375992	0.6877156315073651	0.7241803411334434
18	0	6.1182205971968315	1.1671955801784217	1.229083729811956
19	0	5.244769449522649	1.0012217517922868	1.0543094798847785
20	0	2.84785699776559	0.5417201343158574	0.570443732401204
21	0	1.9987812309567339	0.3780514979906409	0.3980969026119041
22	0	0.22750355474304285	0.043030251803812786	0.04531184257371266
23	0	0.03656307129798903	0.006915576182755626	0.007282260413632391
24	0	0.008125126955108673	0.0015367947072790283	0.0016182800919183093
25	0	0.004062563477554336	0.0007683973536395141	0.0008091400459591546
