Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	0	0.0014224548726191662	0.0010175217240888093	0.0010471971767564115
2	0	0.017069458471429995	0.004070086896355237	0.004188788707025646
3	0	16.16904453706206	0.08954191171981522	0.09215335155456421
4	0	17.84611883188006	51.68094588819472	56.012482590346934
5	0	13.920143383451162	38.13976678402084	35.02246237944143
6	0	10.463578042986587	8.578725655792752	7.752400699527715
7	0	7.571727286951821	1.3085329371782088	0.9759877687369755
8	0	5.018420790600418	0.19027656240460733	0.1361356329783335
9	0	4.189129599863444	0.007122652068621665	0.0031415915302692348
10	0	4.140766134194393	0.0	0.0
11	0	4.196241874226541	0.0	0.0
12	0	3.359838409126471	0.0	0.0
13	0	1.9331161718894467	0.0	0.0
14	0	1.9672550888323068	0.0	0.0
15	0	0.9914510462155588	0.0	0.0
16	0	0.9857612267250823	0.0	0.0
17	0	1.3157707571727286	0.0	0.0
18	0	2.2048050525597076	0.0	0.0
19	0	1.8861751610930142	0.0	0.0
20	0	1.0184776887953229	0.0	0.0
21	0	0.7055376168191064	0.0	0.0
22	0	0.08107992773929247	0.0	0.0
23	0	0.012802093853572494	0.0	0.0
24	0	0.0028449097452383325	0.0	0.0
25	0	0.0014224548726191662	0.0	0.0
