Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	0.0016069592046623242	0.004062563477554336	0.00031509460715579854	0.0006420195366545004
2	15.962461432979088	0.040625634775543366	2.332093961211854	4.751747095664121
3	5.808086218717861	0.27219175299614057	2.071983363004742	4.2207969388508495
4	20.74745029139527	1.6006500101564087	8.732374395412222	12.615041875724279
5	2.0006642098045937	3.310989234206785	9.125533691490869	10.377282780715017
6	6.1460833047651695	6.699167174487101	9.702393143541348	8.345772461856015
7	10.652532567706547	8.259191549867968	10.38551825185512	8.934985891620682
8	13.349545766198148	7.942311598618729	10.22946764766121	8.950073350732064
9	11.670273397326019	8.117001828153565	9.312069698927102	7.994427270421839
10	6.874035824477202	9.299207800121877	7.872244891528682	6.662878751400406
11	4.125599931436407	10.692667072923015	6.793045862020071	5.634202948795732
12	1.9465632499142955	8.856388381068454	5.721094008476045	4.667321526594055
13	0.6379628042509428	4.838513101767215	4.8907409449687265	3.9078124147317803
14	0.07177751114158382	4.980702823481617	3.8583334646227527	3.1036829450720185
15	0.005356530682207748	2.4822262847856997	2.9510185433176312	2.4414397930129015
16	0.0	2.5594149908592323	2.1465820112488774	1.8945996526674307
17	0.0	3.5588056063375992	1.4834654104894995	1.528006497237711
18	0.0	6.1182205971968315	0.9567060009767934	1.3233627699290889
19	0.0	5.244769449522649	0.6554755565358499	1.1090887495706494
20	0.0	2.84785699776559	0.40773242165960333	0.7850293884442904
21	0.0	1.9987812309567339	0.25908654073385534	0.5224433979525998
22	0.0	0.22750355474304285	0.10043640603091078	0.20432271754029477
23	0.0	0.03656307129798903	0.009452838214673956	0.01926058609963501
24	0.0	0.008125126955108673	0.00220566225009059	0.0044941367565815024
25	0.0	0.004062563477554336	0.0006301892143115971	0.0012840390733090009
